,Factor
Animals live nes,1
"Animals, live, non-food",1
Asses,1
Bacon and ham,1
Beehives,1
Buffaloes,1
"Butter, cow milk",1
"Buttermilk, curdled, acidified milk",1
"Camelids, other",1
Camels,1
Cane tops,1
Cattle,1
"Cheese, processed",1
"Cheese, sheep milk",1
"Cheese, whole cow milk",1
Chickens,1
Cream fresh,1
Ducks,1
"Eggs, dried",1
"Eggs, hen, in shell",1
"Eggs, liquid",1
"Eggs, other bird, in shell",1
"Fat, camels",1
"Fat, cattle",1
"Fat, liver prepared (foie gras)",1
"Fat, pigs",1
"Feed and meal, gluten",1
Feed minerals,1
Feed supplements,1
"Feed, compound nes",1
"Feed, pulp of fruit",1
"Feed, vegetable products nes",1
Food wastes,1
"Forage and silage, clover",1
"Forage and silage, grasses nes",1
"Forage and silage, legumes",1
Forage products,1
"Ghee, buffalo milk",1
Goats,1
"Honey, natural",1
Horses,1
Ice cream and edible ice,1
Lactose,1
Lard,1
"Meal, meat",1
Meat nes,1
"Meat, ass",1
"Meat, beef and veal sausages",1
"Meat, beef, preparations",1
"Meat, cattle",1
"Meat, cattle, boneless (beef & veal)",1
"Meat, chicken",1
"Meat, chicken, canned",1
"Meat, dried nes",1
"Meat, duck",1
"Meat, game",1
"Meat, goat",1
"Meat, goose and guinea fowl",1
"Meat, horse",1
"Meat, pig",1
"Meat, pig sausages",1
"Meat, pig, preparations",1
"Meat, pork",1
"Meat, rabbit",1
"Meat, sheep",1
"Meat, turkey",1
"Milk, products of natural constituents nes",1
"Milk, reconstituted",1
"Milk, skimmed cow",1
"Milk, skimmed dried",1
"Milk, whole condensed",1
"Milk, whole dried",1
"Milk, whole evaporated",1
"Milk, whole fresh cow",1
"Milk, whole fresh sheep",1
Mules,1
"Offals, edible, cattle",1
"Offals, edible, goats",1
"Offals, liver chicken",1
"Offals, liver duck",1
"Offals, liver geese",1
"Offals, other camelids",1
"Offals, pigs, edible",1
"Offals, sheep,edible",1
"Oils, fats of animal nes",1
Pigs,1
Rabbits and hares,1
Sheep,1
Tallow,1
Turkeys,1
Turnips for fodder,1
"Whey, condensed",1
"Whey, dry",1
Yoghurt,1
"Yoghurt, concentrated or not",1
